key,english,chinese
"Hello, world!","Hello, world!",你好，世界！
Language,Language,语言
Large project detected ({count} tasks),Large project detected ({count} tasks),检测到大型项目（{{count}} 个任务）
UNBLOCK_HISTORY,UNBLOCK_HISTORY,允许导航
apps.labelstudio.src.app.ErrorBoundary.jsx.runtime_error.50c894b7,Runtime error,Runtime error
apps.labelstudio.src.components.Error.Error.jsx.copy_error_stacktrace.0955769e,Copy error stacktrace,Copy error stacktrace
apps.labelstudio.src.components.Error.Error.jsx.go_back.e84712fb,Go back,Go back
apps.labelstudio.src.components.Error.Error.jsx.heidi_s_down.d272565d,Heidi's down,Heidi's down
apps.labelstudio.src.components.Error.Error.jsx.reload_page.37614e96,Reload page,Reload page
apps.labelstudio.src.components.Form.Form.jsx.submit_form.a610e2e7,Submit form,Submit form
apps.labelstudio.src.components.LanguageSwitcher.LanguageSwitcher.jsx.switch_to_english.5bb1416f,Switch to English,Switch to English
apps.labelstudio.src.components.Menubar.Menubar.jsx.account_amp_settings.cb29c52a,Account &amp; Settings,Account &amp; 设置
apps.labelstudio.src.components.Menubar.Menubar.jsx.api.d93d10ff,API,API
apps.labelstudio.src.components.Menubar.Menubar.jsx.dark_mode.e7f8b9dc,Dark Mode,Dark Mode
apps.labelstudio.src.components.Menubar.Menubar.jsx.docs.68a41942,Docs,Docs
apps.labelstudio.src.components.Menubar.Menubar.jsx.github.5442e2b6,GitHub,GitHub
apps.labelstudio.src.components.Menubar.Menubar.jsx.home.70f8bb9a,Home,Home
apps.labelstudio.src.components.Menubar.Menubar.jsx.keyboard_shortcuts.b465751c,Keyboard Shortcuts,Keyboard Shortcuts
apps.labelstudio.src.components.Menubar.Menubar.jsx.label_studio_logo.773128c6,Label Studio Logo,Label Studio Logo
apps.labelstudio.src.components.Menubar.Menubar.jsx.log_out.4e8131ca,Log Out,Log Out
apps.labelstudio.src.components.Menubar.Menubar.jsx.organization.519255ae,Organization,Organization
apps.labelstudio.src.components.Menubar.Menubar.jsx.slack_community.85fe170e,Slack Community,Slack Community
apps.labelstudio.src.pages.CreateProject.Config.Config.jsx.add_labels.ef456e98,Add labels,添加 labels
